"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","2017","2018","2019","2020","2021","2022","2023","2024"
"IMF.STA:FAS(4.0.0)","RWA.FA67.NUM.A","OBS_VALUE","Rwanda","Registered mobile money accounts","Number","Annual","Units","9079983","11067077","15923248","15701257","15360011","16628003","18771214","20006989"
"IMF.STA:FAS(4.0.0)","RWA.FA39N_COMBANK.PTKM2_NUM.A","OBS_VALUE","Rwanda","Number of non-branch retail agent outlets, Commercial banks","Per 1,000 square km","Annual","Units","92.25780299959465","147.4665585731658","181.7186866639643","237.6570733684637","294.2034860154033","340.4539927036887","460.3972436157276","444.10214835833"
"IMF.STA:FAS(4.0.0)","RWA.FA38_COMBANK.NUM.A","OBS_VALUE","Rwanda","Non-branch retail agent outlets, Commercial banks","Number","Annual","Units","2276","3638","4483","5863","7258","8399","11358","10956"
"IMF.STA:FAS(4.0.0)","RWA.COMBANK.NUM.A","OBS_VALUE","Rwanda","Commercial banks","Number","Annual","Units","11","11","11","11","11","10","9","10"
"IMF.STA:FAS(4.0.0)","RWA.FA19.NUM.A","OBS_VALUE","Rwanda","Automated teller machines (ATMs) country wide","Number","Annual","Units","406","383","383","334","337","347","345","316"
"IMF.STA:FAS(4.0.0)","RWA.DTMFI.NUM.A","OBS_VALUE","Rwanda","Deposit taking microfinance institutions","Number","Annual","Units","17","17","19","19","19","19","19","22"
"IMF.STA:FAS(4.0.0)","RWA.FA75_S128.NUM.A","OBS_VALUE","Rwanda","Non-life insurance policies, Insurance corporations","Number","Annual","Units","637875","329425","240914","240549","463759","295390","407962","361356"
"IMF.STA:FAS(4.0.0)","RWA.FA64.XDC.A","OBS_VALUE","Rwanda","Outstanding balances on active mobile money accounts","Domestic currency","Annual","Millions","17446","19960.291074","28532.17112204","67151.024398","72314.61988071","118680","119607","197463.510087489"
"IMF.STA:FAS(4.0.0)","RWA.FA21_NDTMFI.NUM.A","OBS_VALUE","Rwanda","Borrowers, Non-deposit taking microfinance institutions","Number","Annual","Units","37","118","","","1423","11446","11448","17184"
"IMF.STA:FAS(4.0.0)","RWA.FA73_S128.NUM.A","OBS_VALUE","Rwanda","Life insurance policies, Insurance corporations","Number","Annual","Units","217302","258248","209473","343608","432556","554420","665023","765193"
"IMF.STA:FAS(4.0.0)","RWA.NDTMFI.NUM.A","OBS_VALUE","Rwanda","Non-deposit taking microfinance institutions","Number","Annual","Units","2","2","","4","8","15","22","67"
"IMF.STA:FAS(4.0.0)","RWA.FA22_NDTMFI.NUM.A","OBS_VALUE","Rwanda","Branches excluding headquarters, Non-deposit taking microfinance institutions","Number","Annual","Units","2","2","","","","30","50","36"
"IMF.STA:FAS(4.0.0)","RWA.LOANACC_NDTMFI.NUM.A","OBS_VALUE","Rwanda","Loan accounts, Non-deposit taking microfinance institutions","Number","Annual","Units","37","118","","","1423","11446","11448","17184"
"IMF.STA:FAS(4.0.0)","RWA.FA10N.PTKM2_NUM.A","OBS_VALUE","Rwanda","Number of all microfinance institution branches","Per 1,000 square km","Annual","Units","7.174706120794488","7.498986623429266","8.99878394811512","8.917713822456425","9.647344953384678","10.7823267126064","13.41710579651398","16.2545601945683"
"IMF.STA:FAS(4.0.0)","RWA.FA30_COMBANK.NUM.A","OBS_VALUE","Rwanda","Deposit accounts, Commercial banks","Number","Annual","Units","1713909","2945341","3365025.3","4090477","5009115","5351802","8082771","6085442"
"IMF.STA:FAS(4.0.0)","RWA.OUTL_NDTMFI_A.XDC.A","OBS_VALUE","Rwanda","Outstanding loans, Non-deposit taking microfinance institutions, Assets","Domestic currency","Annual","Millions","188.827286","272.738966","","","16172","33245","35220","44979"
"IMF.STA:FAS(4.0.0)","RWA.OUTL_MFI.POGDP.A","OBS_VALUE","Rwanda","Outstanding loans, All Microfinance institutions","Percent of GDP","Annual","Units","0.5647267384828438","0.6148871657100856","0.6703533519511173","0.7118192933986662","0.8746230466965183","1.010695724390233","1.072007698785035","1.635339146358342"
"IMF.STA:FAS(4.0.0)","RWA.FA60.POGDP.A","OBS_VALUE","Rwanda","Value of mobile and internet banking transactions (during the reference year)","Percent of GDP","Annual","Units","18.90488528080478","25.07622407353705","25.37502758936044","27.50331600025091","36.23758567120534","61.0686443148688","94.64835799350415","136.4619012637474"
"IMF.STA:FAS(4.0.0)","RWA.FA25.NUM.A","OBS_VALUE","Rwanda","Debit cards","Number","Annual","Units","754806","883755","555243","471898","686309","532564","540081","545288"
"IMF.STA:FAS(4.0.0)","RWA.FA1.NUM.A","OBS_VALUE","Rwanda","Average number of mobile money transactions per active mobile money account","Number","Annual","Units","66.59565026634429","64.33459546832551","80.588974187761","149.5921217100913","178.5195943876108","252.0047420131464","328.4178400723983","353.9304168279325"
"IMF.STA:FAS(4.0.0)","RWA.FA35_COMBANK.NUM.A","OBS_VALUE","Rwanda","Mobile and internet banking transactions (during the reference year), Commercial banks","Number","Annual","Units","3422351.07","3975990.5","3351551","7094633","8365411","21500458","28540957","38722664"
"IMF.STA:FAS(4.0.0)","RWA.FA46N.PTKM2_NUM.A","OBS_VALUE","Rwanda","Number of other deposit taker branches","Per 1,000 square km","Annual","Units","4.783137413862991","4.742602351033644","4.702067288204297","5.026347790839076","5.066882853668423","3.283340089177138","3.283340089177138","3.56708552898257"
"IMF.STA:FAS(4.0.0)","RWA.ITS_S128_L.XDC.A","OBS_VALUE","Rwanda","Technical Reserves, Insurance corporations, Liabilities","Domestic currency","Annual","Millions","78011.1502870148","94006","99083","114471","135328","147309","177345","206739"
"IMF.STA:FAS(4.0.0)","RWA.FA36_COMBANK.XDC.A","OBS_VALUE","Rwanda","Value of mobile and internet banking transactions (during the reference year), Commercial banks","Domestic currency","Annual","Millions","1454541.87350512","2081075.83586284","2361907.56801767","2639493.23654408","3965479","8378618","15736236","25634914"
"IMF.STA:FAS(4.0.0)","RWA.FA24.NUM.A","OBS_VALUE","Rwanda","Credit cards","Number","Annual","Units","3679","3638","3687","2236","5155","7230","14419","5523"
"IMF.STA:FAS(4.0.0)","RWA.OUTL_ODT.POGDP.A","OBS_VALUE","Rwanda","Outstanding loans, Other deposit takers","Percent of GDP","Annual","Units","2.426248092335443","2.675473711785432","2.653129435601869","2.968244215754746","3.515754363520058","3.750809037900875","3.748736918080115","3.484418750731951"
"IMF.STA:FAS(4.0.0)","RWA.OUTD_ODT.POGDP.A","OBS_VALUE","Rwanda","Outstanding deposits, Other deposit takers","Percent of GDP","Annual","Units","0.5552998280919548","0.5668440100231642","0.4713892710023743","0.4585273511409816","3.946778762679338","3.769526239067055","3.602147239263804","2.85816112512909"
"IMF.STA:FAS(4.0.0)","RWA.FA3_S128.NUM.A","OBS_VALUE","Rwanda","Policy holders, Insurance corporations","Number","Annual","Units","669413","421899","687903","868602","987360","845215","1092166","1706015"
"IMF.STA:FAS(4.0.0)","RWA.LOANACC_DTMFI.NUM.A","OBS_VALUE","Rwanda","Loan accounts, Deposit taking microfinance institutions","Number","Annual","Units","36666","46239","81655","138089","77344","87523","100152","227574"
"IMF.STA:FAS(4.0.0)","RWA.FA29_CUCC.NUM.A","OBS_VALUE","Rwanda","Depositors, Credit unions and credit cooperatives","Number","Annual","Units","2843424","2974835","3187269","3560968","3950353","4236124","4796456","2557433"
"IMF.STA:FAS(4.0.0)","RWA.FA30_CUCC.NUM.A","OBS_VALUE","Rwanda","Deposit accounts, Credit unions and credit cooperatives","Number","Annual","Units","2843424","2974835","3187269","3560968","3950353","4236124","4796456","3007780"
"IMF.STA:FAS(4.0.0)","RWA.FA21_COMBANK.NUM.A","OBS_VALUE","Rwanda","Borrowers, Commercial banks","Number","Annual","Units","142879","203278","298014","391582","431773","743501","1173182","875988"
"IMF.STA:FAS(4.0.0)","RWA.FA65.XDC.A","OBS_VALUE","Rwanda","Value of mobile money transactions (during the reference year)","Domestic currency","Annual","Millions","1384685.53439154","1808943.33716827","2349788","7176619.576864","10439128.984559","14602901","20776838","30127667.4732988"
"IMF.STA:FAS(4.0.0)","RWA.FA29_COMBANK.NUM.A","OBS_VALUE","Rwanda","Depositors, Commercial banks","Number","Annual","Units","1481574","1966352","1986431","2238095","2320671","3093679","4443502","3999783"
"IMF.STA:FAS(4.0.0)","RWA.FA57N.PHTADLT_NUM.A","OBS_VALUE","Rwanda","Number of registered mobile money agent outlets","Per 100,000 adults","Annual","Units","1150.789348279134","1442.444964140817","1275.942327235575","1650.036485639778","1517.715425398526","1785.865100478676","1866.660897091455","2521.018566213523"
"IMF.STA:FAS(4.0.0)","RWA.FA18N.PHTADLT_NUM.A","OBS_VALUE","Rwanda","Number of automated teller machines (ATMs)","Per 100,000 adults","Annual","Units","5.593378211697793","5.122071809841947","4.968390399772518","4.201414820151143","4.112388527729519","4.110284013518215","3.970419111687199","3.538554567646861"
"IMF.STA:FAS(4.0.0)","RWA.FA28N.PHTADLT_NUM.A","OBS_VALUE","Rwanda","Number of credit union and credit cooperative branches","Per 100,000 adults","Annual","Units","14.23142781449217","13.54741186258458","13.01121559000479","12.55392811530192","12.2029333167048","11.83335368733342","11.65807118880908","11.56749008980762"
"IMF.STA:FAS(4.0.0)","RWA.FA30N_COMBANK.PTADLT_NUM.A","OBS_VALUE","Rwanda","Number of deposit accounts, Commercial banks","Per 1,000 adults","Annual","Units","236.1217058480973","393.8968174013496","436.5211330420793","514.54463141579","611.2589632070578","633.9315908966804","930.2025638780016","681.4452083939889"
"IMF.STA:FAS(4.0.0)","RWA.LOANACCN_COMBANK.PTADLT_NUM.A","OBS_VALUE","Rwanda","Number of loan accounts, Commercial banks","Per 1,000 adults","Annual","Units","19.68414496328002","27.18549643240343","38.65926622970776","49.25743766779715","46.32623980887278","45.75918781735509","86.06579686484198","142.6252491545542"
"IMF.STA:FAS(4.0.0)","RWA.FA26N.PHTADLT_NUM.A","OBS_VALUE","Rwanda","Number of commercial bank branches","Per 100,000 adults","Annual","Units","6.103119575818035","5.69713470233073","5.253780971038824","4.528471063635962","3.319197862143706","3.150822903734424","","4.747933976842624"
"IMF.STA:FAS(4.0.0)","RWA.FA29N_CUCC.PTADLT_NUM.A","OBS_VALUE","Rwanda","Number of depositors, Credit unions and credit cooperatives","Per 1,000 adults","Annual","Units","391.7326563600637","397.8412139015971","413.4620548588134","447.9372374037118","482.0589423644477","501.7773128668828","551.9982774135286","286.3802602405321"
"IMF.STA:FAS(4.0.0)","RWA.FA63N.PTADLT_NUM.A","OBS_VALUE","Rwanda","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","519.996533758724","623.5027134275714","609.8260752024911","589.7231632427023","625.4113151211062","714.9814166597274","793.0213612000747","802.8178540234261"
"IMF.STA:FAS(4.0.0)","RWA.FA5N.PHTADLT_NUM.A","OBS_VALUE","Rwanda","Number of active mobile money agent outlets","Per 100,000 adults","Annual","Units","833.4133535429711","1036.611044711407","1129.164010588509","1425.046948294798","1422.556951394862","1738.484304933798","1621.530673674245","1898.837652012273"
"IMF.STA:FAS(4.0.0)","RWA.FA67N.PTADLT_NUM.A","OBS_VALUE","Rwanda","Number of registered mobile money accounts","Per 1,000 adults","Annual","Units","1250.930519083408","1480.061700236297","2065.611292334124","1975.074666311433","1874.371899768523","1969.620026156568","2160.277878700589","2240.374123759826"
"IMF.STA:FAS(4.0.0)","RWA.FA29N_COMBANK.PTADLT_NUM.A","OBS_VALUE","Rwanda","Number of depositors, Commercial banks","Per 1,000 adults","Annual","Units","204.1133923797524","262.9711787839774","257.685762668682","281.5319012546758","283.1899346301065","366.4524304512109","511.3787032933418","447.8940001343755"
"IMF.STA:FAS(4.0.0)","RWA.FA30N_CUCC.PTADLT_NUM.A","OBS_VALUE","Rwanda","Number of deposit accounts, Credit unions and credit cooperatives","Per 1,000 adults","Annual","Units","391.7326563600637","397.8412139015971","413.4620548588134","447.9372374037118","482.0589423644477","501.7773128668828","551.9982774135286","336.8099258695214"
"IMF.STA:FAS(4.0.0)","RWA.LOANACCN_CUCC.PTADLT_NUM.A","OBS_VALUE","Rwanda","Number of loan accounts, Credit unions and credit cooperatives","Per 1,000 adults","Annual","Units","28.25083077509756","31.39121220984232","55.53038929608934","66.11844492806838","39.32370855441489","33.90522348395965","48.3025077282194","66.34252312378222"
"IMF.STA:FAS(4.0.0)","RWA.FA66N.PTADLT_NUM.A","OBS_VALUE","Rwanda","Number of mobile money transactions (during the reference year)","Per 1,000 adults","Annual","Units","34629.50730190727","40112.7948417661","49145.25783351715","88217.93921106235","111648.1743008421","180178.7074495285","260442.3625766018","284141.6577114174"
"IMF.STA:FAS(4.0.0)","RWA.FA21N_COMBANK.PTADLT_NUM.A","OBS_VALUE","Rwanda","Number of borrowers, Commercial banks","Per 1,000 adults","Annual","Units","19.68414496328002","27.18549643240343","38.65926622970776","49.25743766779715","52.68897126953583","88.06917217103188","135.0151951967366","98.09276387986831"
"IMF.STA:FAS(4.0.0)","RWA.FA39N_COMBANK.PHTADLT_NUM.A","OBS_VALUE","Rwanda","Number of non-branch retail agent outlets, Commercial banks","Per 100,000 adults","Annual","Units","31.35598229020733","48.65299541567886","58.15481504485691","73.7511829058268","88.56889001264346","99.48782544535875","130.7131022334586","122.6848222884146"
"IMF.STA:FAS(4.0.0)","RWA.FA10N.PHTADLT_NUM.A","OBS_VALUE","Rwanda","Number of all microfinance institution branches","Per 100,000 adults","Annual","Units","2.43849247160224","2.474107793265693","2.879850310050911","2.767398983333088","2.904298129375743","3.150822903734424","3.809300654981052","4.490380954513897"
"IMF.STA:FAS(4.0.0)","RWA.LOANACCN_MFI.PTADLT_NUM.A","OBS_VALUE","Rwanda","Number of loan accounts, All Microfinance institutions","Per 1,000 adults","Annual","Units","5.056496564136554","6.199579187698255","10.59253049852284","17.3703344640674","9.611884485568872","11.72307488570271","12.84344269171859","27.40789679962375"
"IMF.STA:FAS(4.0.0)","RWA.FA21N_MFI.PTADLT_NUM.A","OBS_VALUE","Rwanda","Number of borrowers, All Microfinance institutions","Per 1,000 adults","Annual","Units","5.056496564136554","6.199579187698255","10.59253049852284","17.3703344640674","9.611884485568872","11.72307488570271","12.84344269171859","22.38695661911267"
"IMF.STA:FAS(4.0.0)","RWA.FA73N_S128.PTADLT_NUM.A","OBS_VALUE","Rwanda","Number of life insurance policies, Insurance corporations","Per 1,000 adults","Annual","Units","29.93724808271807","34.53693996731236","27.17346324312137","43.22274681205071","52.78452023740563","65.67215166497892","76.53391388149438","85.68598687599382"
"IMF.STA:FAS(4.0.0)","RWA.NIC.PHTADLT_NUM.A","OBS_VALUE","Rwanda","Number of insurance corporations","Per 100,000 adults","Annual","Units","0.2204286979979426","0.2139768902283842","0.1816121817149223","0.1761072080302874","0.183043999750572","0.2013683810657339","0.2071523014793321","0.2015632348659604"
"IMF.STA:FAS(4.0.0)","RWA.FA24N.PTADLT_NUM.A","OBS_VALUE","Rwanda","Number of credit cards","Per 1,000 adults","Annual","Units","0.5068482374590192","0.4865299541567886","0.4782886528449419","0.2812683693969448","0.6290612124761326","0.8564078794736799","1.659405019461383","0.618463192313722"
"IMF.STA:FAS(4.0.0)","RWA.FA75N.PTADLT_NUM.A","OBS_VALUE","Rwanda","Number of non-life insurance policies","Per 1,000 adults","Annual","Units","87.87872233464851","44.05583566467842","31.25208367547771","30.25886627462686","56.59220152021703","34.98953299000419","46.95014845339516","40.46449127679111"
"IMF.STA:FAS(4.0.0)","RWA.FA37N.PTADLT_NUM.A","OBS_VALUE","Rwanda","Number of mobile and internet banking transactions (during the reference year)","Per 1,000 adults","Annual","Units","471.4902440324785","531.7313017297491","434.773206599164","892.4400068782444","1020.825525998288","2546.772011548121","3284.624960540364","4336.147454704262"
"IMF.STA:FAS(4.0.0)","RWA.FA25N.PTADLT_NUM.A","OBS_VALUE","Rwanda","Number of debit cards","Per 1,000 adults","Annual","Units","103.9880648881469","118.1894666398661","72.02778043709901","59.36045661076898","83.74982961654357","63.08326499640676","62.15501229736621","61.06111845199436"
"IMF.STA:FAS(4.0.0)","RWA.FA23N_ODT.PHTADLT_NUM.A","OBS_VALUE","Rwanda","Number of branches, Other deposit takers","Per 100,000 adults","Annual","Units","1.625661647734826","1.56470600979506","1.504786648495071","1.559806699696831","1.5253666645881","0.9594611097837908","0.9321853566569946","0.9854202593446955"
"IMF.STA:FAS(4.0.0)","RWA.FA21N_CUCC.PTADLT_NUM.A","OBS_VALUE","Rwanda","Number of borrowers, Credit unions and credit cooperatives","Per 1,000 adults","Annual","Units","28.25083077509756","31.39121220984232","55.53038929608934","66.11844492806838","39.32370855441489","33.90522348395965","48.3025077282194","28.87516516987302"
